Age,Workclass,Fnlwgt,Education,MaritalStatus,Occupation,Relationship,Race,Sex,CapitalGain,CapitalLoss,HoursPerWeek,NativeCountry,Y
39,4,77516,13,4,7,6,5,1,2174,0,40,19,0
50,7,83311,13,6,2,3,5,1,0,0,13,19,0
38,3,215646,9,1,1,6,5,1,0,0,40,19,0
53,3,234721,7,6,1,3,4,1,0,0,40,19,0
28,3,338409,13,6,13,4,4,0,0,0,40,9,0
37,3,284582,14,6,2,4,5,0,0,0,40,19,0
49,3,160187,5,5,15,6,4,0,0,0,16,15,0
52,7,209642,9,6,2,3,5,1,0,0,45,19,1
31,3,45781,14,4,13,6,5,0,14084,0,50,19,1
42,3,159449,13,6,2,3,5,1,5178,0,40,19,1
37,3,280464,10,6,2,3,4,1,0,0,80,19,1
30,4,141297,13,6,13,3,2,1,0,0,40,39,1
23,3,122272,13,4,7,5,5,0,0,0,30,19,0
32,3,205019,12,4,6,6,4,1,0,0,50,19,0
40,3,121772,11,6,12,3,2,1,0,0,40,25,1
34,3,245487,4,6,14,3,3,1,0,0,45,6,0
25,7,176756,9,4,5,5,5,1,0,0,35,19,0
32,3,186824,9,4,8,2,5,1,0,0,40,19,0
38,3,28887,7,6,6,3,5,1,0,0,50,19,0
43,7,292175,14,1,2,2,5,0,0,0,45,19,1
40,3,193524,16,6,13,3,5,1,0,0,60,19,1
54,3,302146,9,2,15,2,4,0,0,0,20,19,0
35,2,76845,5,6,5,3,4,1,0,0,40,19,0
43,3,117037,7,6,14,3,5,1,0,2042,40,19,0
59,3,109015,9,1,11,2,5,0,0,0,40,19,0
56,6,216851,13,6,11,3,5,1,0,0,40,19,1
19,3,168294,9,4,12,5,5,1,0,0,40,19,0
54,5,180211,10,6,10,3,2,1,0,0,60,30,1
39,3,367260,9,1,2,6,5,1,0,0,80,19,0
49,3,193366,9,6,12,3,5,1,0,0,40,19,0
23,6,190709,12,4,9,6,5,1,0,0,52,19,0
20,3,266015,10,4,6,5,4,1,0,0,44,19,0
45,3,386940,13,1,2,5,5,1,0,1408,40,19,0
30,2,59951,10,6,7,5,5,1,0,0,40,19,0
22,4,311512,10,6,15,3,4,1,0,0,15,19,0
48,3,242406,7,4,8,2,5,1,0,0,40,32,0
21,3,197200,10,4,8,5,5,1,0,0,40,19,0
19,3,544091,9,3,7,4,5,0,0,0,25,19,0
31,3,84154,10,6,6,3,5,1,0,0,38,25,1
48,7,265477,12,6,13,3,5,1,0,0,40,19,0
31,3,507875,5,6,8,3,5,1,0,0,43,19,0
53,7,88506,13,6,13,3,5,1,0,0,40,19,0
24,3,172987,13,6,11,3,5,1,0,0,50,19,0
49,3,94638,9,2,7,2,5,0,0,0,40,19,0
25,3,289980,9,4,1,6,5,1,0,0,35,19,0
57,2,337895,13,6,13,3,4,1,0,0,40,19,1
53,3,144361,9,6,8,3,5,1,0,0,38,19,0
44,3,128354,14,1,2,2,5,0,0,0,40,19,0
41,4,101603,11,6,12,3,5,1,0,0,40,19,0
29,3,271466,11,4,13,6,5,1,0,0,43,19,0
25,3,32275,10,6,2,4,1,0,0,0,40,19,0
18,3,226956,9,4,15,5,5,0,0,0,30,25,0
47,3,51835,15,6,13,4,5,0,0,1902,60,40,1
50,2,251585,13,1,2,6,5,1,0,0,55,19,1
47,1,109832,9,1,2,6,5,1,0,0,60,19,0
43,3,237993,10,6,11,3,5,1,0,0,40,19,1
46,3,216666,3,6,8,3,5,1,0,0,40,6,0
35,3,56352,11,6,15,3,5,1,0,0,40,32,0
41,3,147372,9,6,7,3,5,1,0,0,48,19,0
30,3,188146,9,6,8,3,5,1,5013,0,40,19,0
30,3,59496,13,6,6,3,5,1,2407,0,40,19,0
32,5,293936,4,5,10,6,5,1,0,0,40,25,0
48,3,149640,9,6,14,3,5,1,0,0,40,19,0
42,3,116632,16,6,13,3,5,1,0,0,45,19,1
29,3,105598,10,1,11,6,5,1,0,0,58,19,0
36,3,155537,9,6,12,3,5,1,0,0,40,19,0
28,3,183175,10,1,7,6,5,0,0,0,40,19,0
53,3,169846,9,6,7,4,5,0,0,0,40,19,1
49,1,191681,10,6,2,3,5,1,0,0,50,19,1
25,5,200681,10,4,10,5,5,1,0,0,40,19,0
19,3,101509,10,4,13,5,5,1,0,0,32,19,0
31,3,309974,13,2,6,5,4,0,0,0,40,19,0
29,7,162298,13,6,6,3,5,1,0,0,70,19,1
23,3,211678,10,4,8,6,5,1,0,0,40,19,0
79,3,124744,10,6,13,1,5,1,0,0,20,19,0
27,3,213921,9,4,15,5,5,1,0,0,40,6,0
40,3,32214,12,6,7,3,5,1,0,0,40,19,0
67,5,212759,6,6,10,3,5,1,0,0,2,19,0
18,3,309634,7,4,15,5,5,0,0,0,22,19,0
31,6,125927,4,6,5,3,5,1,0,0,40,19,0
18,3,446839,9,4,6,6,5,1,0,0,30,19,0
52,3,276515,13,6,15,3,5,1,0,0,40,9,0
46,3,51618,9,6,15,4,5,0,0,0,40,19,0
59,3,159937,9,6,6,3,5,1,0,0,48,19,0
44,3,343591,9,1,12,6,5,0,14344,0,40,19,1
53,3,346253,9,1,6,5,5,0,0,0,35,19,0
49,6,268234,9,6,9,3,5,1,0,0,40,19,1
33,3,202051,14,6,13,3,5,1,0,0,50,19,0
30,3,54334,5,4,6,6,5,1,0,0,40,19,0
43,2,410867,16,4,13,6,5,0,0,0,50,19,1
57,3,249977,11,6,13,3,5,1,0,0,40,19,0
37,3,286730,10,1,12,2,5,0,0,0,40,19,0
28,3,212563,10,1,8,2,4,0,0,0,25,19,0
30,3,117747,9,6,6,4,2,0,0,1573,35,25,0
34,6,226296,13,6,9,3,5,1,0,0,40,19,1
29,6,115585,10,4,1,6,5,1,0,0,50,19,0
48,7,191277,16,6,13,3,5,1,0,1902,60,19,1
37,3,202683,10,6,6,3,5,1,0,0,48,19,1
48,3,171095,12,1,2,2,5,0,0,0,40,31,0
32,2,249409,9,4,15,5,4,1,0,0,40,19,0
76,3,124191,14,6,2,3,5,1,0,0,40,19,1
44,3,198282,13,6,2,3,5,1,15024,0,60,19,1
47,7,149116,14,4,13,6,5,0,0,0,50,19,0
20,3,188300,10,4,11,5,5,0,0,0,40,19,0
29,3,103432,9,4,12,6,5,1,0,0,40,19,0
32,1,317660,9,6,12,3,5,1,7688,0,40,19,1
17,5,304873,6,4,10,5,5,0,34095,0,32,19,0
30,3,194901,7,4,1,5,5,1,0,0,40,19,0
31,6,189265,9,4,7,6,5,0,0,0,40,19,0
42,3,124692,9,6,1,3,5,1,0,0,40,19,0
24,3,432376,13,4,6,1,5,1,0,0,40,19,0
38,3,65324,15,6,13,3,5,1,0,0,40,19,1
56,7,335605,9,6,15,3,5,1,0,1887,50,1,1
28,3,377869,10,6,6,4,5,0,4064,0,25,19,0
36,3,102864,9,4,8,5,5,0,0,0,40,19,0
53,3,95647,5,6,1,3,5,1,0,0,50,19,0
56,1,303090,10,6,6,3,5,1,0,0,50,19,0
49,6,197371,11,6,12,3,4,1,0,0,40,19,1
55,3,247552,10,6,6,3,5,1,0,0,56,19,0
22,3,102632,9,4,12,6,5,1,0,0,41,19,0
21,3,199915,10,4,15,5,5,0,0,0,40,19,0
40,3,118853,13,6,2,3,5,1,0,0,60,19,0
30,3,77143,13,4,2,5,4,1,0,0,40,38,0
29,4,267989,13,6,13,3,5,1,0,0,50,19,1
19,3,301606,10,4,15,5,4,1,0,0,35,19,0
47,3,287828,13,6,2,4,5,0,0,0,40,19,1
20,3,111697,10,4,7,5,5,0,0,1719,28,19,0
31,3,114937,12,6,7,3,5,1,0,0,40,19,1
35,5,129305,9,6,10,3,5,1,0,0,40,19,0
39,3,365739,10,1,12,6,5,1,0,0,40,19,0
28,3,69621,12,4,6,6,5,0,0,0,60,19,0
24,3,43323,9,4,15,6,5,0,0,1762,40,19,0
38,7,120985,9,6,12,3,5,1,4386,0,35,19,0
37,3,254202,13,6,6,3,5,1,0,0,50,19,0
46,3,146195,12,1,11,6,4,0,0,0,36,19,0
38,2,125933,14,6,13,3,5,1,0,0,40,34,1
43,7,56920,9,6,12,3,5,1,0,0,60,19,0
27,3,163127,11,6,7,4,5,0,0,0,35,19,0
20,3,34310,10,4,6,5,5,1,0,0,20,19,0
49,3,81973,10,6,12,3,2,1,0,0,40,19,1
61,1,66614,9,6,12,3,5,1,0,0,40,19,0
27,3,232782,10,4,6,5,5,0,0,0,40,19,0
19,3,316868,10,4,15,5,5,1,0,0,30,6,0
45,3,196584,11,4,13,6,5,0,0,1564,40,19,1
70,3,105376,10,4,11,1,5,1,0,0,40,19,0
31,3,185814,9,4,14,2,4,0,0,0,30,19,0
22,3,175374,10,6,15,3,5,1,0,0,24,19,0
36,3,108293,9,7,15,2,5,0,0,0,24,19,0
64,3,181232,7,6,12,3,5,1,0,2179,40,19,0
43,5,174662,10,1,10,6,5,0,0,0,40,19,0
47,6,186009,10,1,7,2,5,0,0,0,38,6,0
34,3,198183,9,4,7,6,5,0,0,0,40,19,0
33,3,163003,13,4,2,1,2,0,0,0,40,21,0
21,3,296158,9,4,12,5,5,1,0,0,35,19,0
52,5,252903,9,1,10,6,5,1,0,0,45,19,1
48,3,187715,9,6,12,3,5,1,0,0,46,19,0
23,3,214542,13,4,1,6,5,1,0,0,40,19,0
71,7,494223,10,2,6,2,4,1,0,1816,2,19,0
29,3,191535,9,1,12,6,5,1,0,0,60,19,0
42,3,228456,13,2,15,1,4,1,0,0,50,19,0
68,5,38317,2,1,10,6,5,0,0,0,20,19,0
25,3,252752,9,4,15,2,5,0,0,0,40,19,0
44,1,78374,14,1,2,2,2,0,0,0,40,19,0
28,3,88419,9,4,2,6,2,0,0,0,40,31,0
45,7,201080,14,6,6,3,5,1,0,0,40,19,1
36,3,207157,10,1,15,2,5,0,0,0,40,6,0
39,2,235485,12,4,2,6,5,1,0,0,42,19,0
46,4,102628,14,7,9,2,5,1,0,0,40,19,0
18,3,25828,7,4,1,5,5,1,0,0,16,19,0
66,6,54826,11,7,13,6,5,0,0,0,20,19,0
27,3,124953,9,4,15,6,5,1,0,1980,40,19,0
28,4,175325,9,6,9,3,5,1,0,0,40,19,0
51,3,96062,10,6,6,3,5,1,0,1977,40,19,1
27,3,428030,13,4,12,6,5,1,0,0,50,19,0
28,4,149624,13,6,13,3,5,1,0,0,40,19,1
27,3,253814,9,5,6,2,5,0,0,0,25,19,0
21,3,312956,9,4,12,5,4,1,0,0,40,19,0
34,3,483777,9,4,1,6,4,1,0,0,40,19,0
18,3,183930,9,4,15,5,5,1,0,0,12,19,0
33,3,37274,13,6,13,3,5,1,0,0,65,19,0
44,6,181344,10,6,2,3,4,1,0,0,38,19,1
43,3,114580,10,1,7,6,5,0,0,0,40,19,0
30,3,633742,10,4,12,6,4,1,0,0,45,19,0
40,3,286370,4,6,8,3,5,1,0,0,40,6,1
37,2,29054,10,6,7,3,5,1,0,0,42,19,1
34,3,304030,9,6,7,3,4,1,0,0,40,19,0
41,7,143129,13,1,2,6,5,0,0,0,40,19,0
53,5,135105,13,1,10,6,5,0,0,0,50,19,0
31,3,99928,14,6,13,4,5,0,0,0,50,19,0
58,4,109567,16,6,13,3,5,1,0,0,1,19,1
38,3,155222,10,1,8,6,4,0,0,0,28,19,0
24,3,159567,10,6,8,3,5,1,0,0,40,19,0
41,6,523910,13,6,12,3,4,1,0,0,40,19,0
47,3,120939,10,6,11,3,5,1,0,0,45,19,0
41,2,130760,13,6,11,3,5,1,0,0,24,19,0
23,3,197387,3,6,14,1,5,1,0,0,40,6,0
36,3,99374,10,1,12,6,5,1,0,0,40,19,0
40,2,56795,14,4,2,6,5,0,14084,0,55,19,1
35,3,138992,14,6,13,1,5,1,7298,0,40,19,1
24,7,32921,9,4,6,6,5,1,0,0,40,19,0
26,3,397317,14,4,13,6,5,0,0,1876,40,19,0
19,5,170653,9,4,10,5,5,1,0,0,40,41,0
